date,close
2012-07-02,2465.24
2012-07-03,2468.72
2012-07-04,2464.92
2012-07-05,2430.37
2012-07-06,2472.61
2012-07-09,2416.04
2012-07-10,2406.71
2012-07-11,2425.57
2012-07-12,2449.18
2012-07-13,2450.63
2012-07-16,2399.73
2012-07-17,2414.2
2012-07-18,2414.33
2012-07-19,2424.32
2012-07-20,2398.46
2012-07-23,2365.43
2012-07-24,2375.99
2012-07-25,2360.08
2012-07-26,2347.49
2012-07-27,2349.11
2012-07-30,2335.79
2012-07-31,2332.92
2012-08-01,2358.65
2012-08-02,2334.88
2012-08-03,2353.74
2012-08-06,2385.61
2012-08-07,2388.87
2012-08-08,2389.79
2012-08-09,2411.7
2012-08-10,2399.75
2012-08-13,2351.93
2012-08-14,2357.02
2012-08-15,2331.61
2012-08-16,2319.67
2012-08-17,2313.48
2012-08-20,2301.79
2012-08-21,2313.7
2012-08-22,2295.59
2012-08-23,2302.2
2012-08-24,2275.68
2012-08-27,2228.2
2012-08-28,2238.41
2012-08-29,2214.81
2012-08-30,2211.37
2012-08-31,2204.87
2012-09-03,2228.37
2012-09-04,2204.41
2012-09-05,2199.88
2012-09-06,2217.82
2012-09-07,2317.18
2012-09-10,2326.67
2012-09-11,2311.89
2012-09-12,2320.07
2012-09-13,2298.46
2012-09-14,2315.54
2012-09-17,2258.71
2012-09-18,2235.24
2012-09-19,2246.24
2012-09-20,2195.95
2012-09-21,2199.06
2012-09-24,2215.52
2012-09-25,2210.15
2012-09-26,2184.89
2012-09-27,2251.72
2012-09-28,2293.11
2012-10-08,2270.05
2012-10-09,2320.16
2012-10-10,2324.12
2012-10-11,2302.53
2012-10-12,2304.53
2012-10-15,2294.86
2012-10-16,2298.16
2012-10-17,2300.8
2012-10-18,2336.08
2012-10-19,2332.47
2012-10-22,2341.59
2012-10-23,2312.08
2012-10-24,2307.78
2012-10-25,2291.24
2012-10-26,2247.91
2012-10-29,2235.85
2012-10-30,2239.88
2012-10-31,2254.82
2012-11-01,2297.88
2012-11-02,2306.77
2012-11-05,2301.88
2012-11-06,2292.21
2012-11-07,2287.5
2012-11-08,2245.41
2012-11-09,2240.92
2012-11-12,2251.85
2012-11-13,2212.44
2012-11-14,2223.11
2012-11-15,2193.62
2012-11-16,2177.24
2012-11-19,2174.99
2012-11-20,2164.88
2012-11-21,2194.9
2012-11-22,2177.55
2012-11-23,2192.68
2012-11-26,2175.6
2012-11-27,2150.64
2012-11-28,2129.16
2012-11-29,2115.68
2012-11-30,2139.66
2012-12-03,2108.85
2012-12-04,2131.47
2012-12-05,2207.88
2012-12-06,2203.6
2012-12-07,2246.76
2012-12-10,2271.05
2012-12-11,2258.5
2012-12-12,2267.77
2012-12-13,2242.64
2012-12-14,2355.86
2012-12-17,2366.7
2012-12-18,2368.12
2012-12-19,2371.11
2012-12-20,2384.82
2012-12-21,2372.0
2012-12-24,2381.22
2012-12-25,2448.4
2012-12-26,2457.62
2012-12-27,2444.59
2012-12-28,2480.05
2012-12-31,2522.95
2013-01-04,2524.41
2013-01-07,2535.99
2013-01-08,2525.33
2013-01-09,2526.13
2013-01-10,2530.57
2013-01-11,2483.23
2013-01-14,2577.73
2013-01-15,2595.86
2013-01-16,2577.09
2013-01-17,2552.76
2013-01-18,2595.44
2013-01-21,2610.9
2013-01-22,2596.9
2013-01-23,2607.46
2013-01-24,2582.75
2013-01-25,2571.67
2013-01-28,2651.86
2013-01-29,2675.87
2013-01-30,2688.71
2013-01-31,2686.88
2013-02-01,2743.32
2013-02-04,2748.03
2013-02-05,2771.68
2013-02-06,2775.84
2013-02-07,2759.87
2013-02-08,2771.73
2013-02-18,2737.47
2013-02-19,2685.61
2013-02-20,2702.64
2013-02-21,2610.55
2013-02-22,2596.6
2013-02-25,2604.96
2013-02-26,2567.59
2013-02-27,2594.68
2013-02-28,2673.33
2013-03-01,2668.84
2013-03-04,2545.72
2013-03-05,2622.81
2013-03-06,2650.2
2013-03-07,2619.48
2013-03-08,2606.93
2013-03-11,2592.37
